air_temperature_2m,time
291.285339,1659585600.0
291.54303,1659589200.0
291.918091,1659592800.0
292.195984,1659596400.0
293.77829,1659600000.0
294.89328,1659603600.0
295.035461,1659607200.0
295.546173,1659610800.0
296.744415,1659614400.0
297.575836,1659618000.0
297.648346,1659621600.0
297.941193,1659625200.0
297.846619,1659628800.0
297.261871,1659632400.0
296.473877,1659636000.0
295.302826,1659639600.0
294.214905,1659643200.0
293.189117,1659646800.0
292.240662,1659650400.0
291.689972,1659654000.0
290.910553,1659657600.0
290.768188,1659661200.0
290.764343,1659664800.0
291.422699,1659668400.0
291.911499,1659672000.0
293.533417,1659675600.0
295.190704,1659679200.0
296.967285,1659682800.0
298.496277,1659686400.0
299.79361,1659690000.0
300.029114,1659693600.0
300.447083,1659697200.0
301.215637,1659700800.0
300.678925,1659704400.0
299.920166,1659708000.0
299.168549,1659711600.0
298.651581,1659715200.0
298.152313,1659718800.0
296.959808,1659722400.0
296.526764,1659726000.0
296.08429,1659729600.0
295.885559,1659733200.0
295.811584,1659736800.0
295.639526,1659740400.0
294.251007,1659744000.0
293.726593,1659747600.0
293.5224,1659751200.0
293.537048,1659754800.0
293.614655,1659758400.0
293.732574,1659762000.0
293.656097,1659765600.0
293.085541,1659769200.0
292.609985,1659772800.0
292.573578,1659776400.0
292.959869,1659780000.0
292.584747,1659783600.0
292.35675,1659787200.0
292.501251,1659790800.0
292.983978,1659794400.0
293.026764,1659798000.0
292.669983,1659801600.0
291.822327,1659805200.0
290.521088,1659808800.0
288.347961,1659812400.0
286.769836,1659816000.0
286.37323,1659819600.0
286.023865,1659823200.0
285.616516,1659826800.0
285.579895,1659830400.0
284.970123,1659834000.0
285.293518,1659837600.0
285.149506,1659841200.0
285.64035,1659844800.0
286.486603,1659848400.0
287.57428,1659852000.0
288.265411,1659855600.0
289.261322,1659859200.0
290.11615,1659862800.0
290.985138,1659866400.0
291.592957,1659870000.0
292.041748,1659873600.0
292.227539,1659877200.0
291.989868,1659880800.0
291.687378,1659884400.0
291.25415,1659888000.0
290.500031,1659891600.0
289.581512,1659895200.0
288.474854,1659898800.0
287.127808,1659902400.0
286.027283,1659906000.0
284.984802,1659909600.0
284.190247,1659913200.0
282.297882,1659916800.0
282.093384,1659920400.0
281.565399,1659924000.0
281.677094,1659927600.0
283.333282,1659931200.0
285.890961,1659934800.0
287.415741,1659938400.0
288.623657,1659942000.0
290.19696,1659945600.0
291.286469,1659949200.0
292.110443,1659952800.0
292.591003,1659956400.0
293.149414,1659960000.0
293.06781,1659963600.0
291.850952,1659967200.0
291.619019,1659970800.0
291.301239,1659974400.0
290.528168,1659978000.0
289.75058,1659981600.0
288.237915,1659985200.0
287.205475,1659988800.0
285.998383,1659992400.0
285.112671,1659996000.0
284.38269,1659999600.0
282.90979,1660003200.0
282.562744,1660006800.0
281.842407,1660010400.0
281.834137,1660014000.0
283.237579,1660017600.0
285.561096,1660021200.0
287.824921,1660024800.0
289.959076,1660028400.0
291.800507,1660032000.0
293.042725,1660035600.0
293.669067,1660039200.0
294.39444,1660042800.0
294.595184,1660046400.0
294.588837,1660050000.0
294.270111,1660053600.0
294.050934,1660057200.0
293.578033,1660060800.0
292.875793,1660064400.0
291.197693,1660068000.0
288.772491,1660071600.0
287.521332,1660075200.0
286.702179,1660078800.0
285.934998,1660082400.0
285.070374,1660086000.0
287.042236,1660089600.0
286.490845,1660093200.0
285.811218,1660096800.0
285.834259,1660100400.0
287.161041,1660104000.0
289.513397,1660107600.0
291.107697,1660111200.0
292.592987,1660114800.0
293.915161,1660118400.0
294.937866,1660122000.0
295.378418,1660125600.0
295.656219,1660129200.0
295.753326,1660132800.0
295.778076,1660136400.0
295.588257,1660140000.0
295.578918,1660143600.0
295.495911,1660147200.0
294.915802,1660150800.0
294.118164,1660154400.0
293.276947,1660158000.0
292.811707,1660161600.0
292.351318,1660165200.0
291.763306,1660168800.0
291.143982,1660172400.0
289.911987,1660176000.0
289.548157,1660179600.0
289.413116,1660183200.0
289.247772,1660186800.0
289.520477,1660190400.0
290.502991,1660194000.0
291.821442,1660197600.0
293.358185,1660201200.0
294.793457,1660204800.0
296.222046,1660208400.0
297.310181,1660212000.0
298.118774,1660215600.0
298.665131,1660219200.0
298.804169,1660222800.0
298.600037,1660226400.0
297.97345,1660230000.0
297.097565,1660233600.0
296.232605,1660237200.0
294.829224,1660240800.0
293.471649,1660244400.0
292.266235,1660248000.0
291.180298,1660251600.0
290.100189,1660255200.0
289.263947,1660258800.0
288.782806,1660262400.0
288.436096,1660266000.0
288.473846,1660269600.0
288.553711,1660273200.0
288.856171,1660276800.0
289.419189,1660280400.0
289.910034,1660284000.0
291.119324,1660287600.0
291.919098,1660291200.0
292.166748,1660294800.0
292.498352,1660298400.0
294.269073,1660302000.0
295.529297,1660305600.0
296.157501,1660309200.0
296.645264,1660312800.0
296.146027,1660316400.0
295.275238,1660320000.0
294.548584,1660323600.0
293.169159,1660327200.0
291.726288,1660330800.0
290.515533,1660334400.0
289.41153,1660338000.0
288.239197,1660341600.0
286.938324,1660345200.0
285.195465,1660348800.0
